"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/03/06","Tokyo Camp 焚き火台専用 焼き網 五徳 ロストル ステンレス バーベキューグリル 洗いやすい ワイヤー網 キャンプグリル (網(標準)+OP) 販売: TokyoCamp(正規販売店)","-2501","Amazon.co.jp","食費","外食","","0","yIj5zMkGQogidF39e53hP3okpFvQak8lmCdEryL2-yM"
"1","2024/03/06","NILE ヘアミルク 洗い流さないトリートメント ミドルダメージ シルキースムース(アップルフラワーの香り) 販売: 【公式】NILE STORE","-1820","Amazon.co.jp","未分類","未分類","","0","y3gEaaPvFq2-2BpcNd0shx72aImx_VuKhIO6osohEyg"
"1","2024/03/05","コウザフリカエ ペイペイ チヤ-ジ","-6600","横浜銀行","現金・カード","電子マネー","","0","zMDeagHuCgs-j8x7FB12HYYue816zXcQEl2qfahD3ik"
"1","2024/03/03","Amazonギフトカード","500","Amazon.co.jp","未分類","未分類","","0","ek0QxgM8XpJ6LzSJrwcWKdm3FJmA_cwDC6EUjvB25XM"
"1","2024/03/03","A. I. (吹替版)[Prime ビデオ]","-500","Amazon.co.jp","未分類","未分類","","0","X3mQz27QLW7XFPJijCLqS-XdUgINqfCA5nz2txVJsaw"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/04/30","AP/ドン・キホーテ下北沢店","-657","ポケットカード","日用品","日用品","","0","W6P1C6M_49Ij6bIH4Ie7hd-PrEAj0-3Zda-1JGL8Ii8"
"1","2024/04/30","AP/ドン・キホーテ下北沢店","-3364","ポケットカード","日用品","日用品","","0","E1GYPOVzrGwYPbr4LNV_3VY5zfmVa7Pf51yCs8w-Ybk"
"1","2024/04/30","テスウリヨウ","-165","横浜銀行","その他","雑費","","0","sMzLi1z8u_429lnYx7aCOxrOowdkxzTSPA2EQoUn54Q"
"1","2024/04/30","インタ-ネツト クドウ リク","-10500","横浜銀行","通信費","インターネット","","0","nSyDEL42X7uvU313tjIzMokPy5MfLhTKzq4D_9PsSfo"
"1","2024/04/30","クレジツト ラクテンカ-ドサ-ビス","-157229","横浜銀行","現金・カード","カード引き落とし","","0","bkJVY_v0xCu_7NOy7nTjyJStv61A67vIYx4GcoNjuCg"
"1","2024/04/30","コウザフリカエ AP(インサイト.ヤチン","-77330","横浜銀行","住宅","家賃・地代","","0","yoHm8Y0K8DST08Ho3Fro-vKhXQiaakavgrYU0CGAcq4"
"1","2024/04/30","コウザフリカエ オリコ","-3400","横浜銀行","現金・カード","カード引き落とし","","0","POQ3ZYNMvNF7scu89J5Ac7WVInJQlpGmZeouKnPZX0U"
"1","2024/04/30","ゴヘンサイ","-12809","横浜銀行","住宅","ローン返済","","0","nyDNUoI8dJ9TcySYvomp3z-u-t9IMx3ylDAJsQwe8Q4"
"1","2024/04/29","AP/券売機(東日本高速道路)","-450","ポケットカード","自動車","道路料金","","0","HFDV9nx_7Y-5agX1P88EjLHvpKP-RbON3lhGrZ6825Y"
"1","2024/04/29","AP/セブンイレブンセタガヤサンケ","-580","ポケットカード","食費","食料品","","0","5V51zRHcyVCbXeO_gEQe1ZctrsoGl1jE1E7XtfaFaHc"
"1","2024/04/29","コウザフリカエ ペイペイ チヤ-ジ","-20000","横浜銀行","現金・カード","電子マネー","","0","a_0OftVp0XUpmEO_26_nIYbQ7Rpk0-ckDKuJ9BQ93Sc"
"1","2024/04/28","AP/ARABAKI ROCK FEST","-1100","ポケットカード","未分類","未分類","","0","KU2Bv-ADinbnBVhNjYEv0t_LkHjg778SNaFEZIYrjss"
"1","2024/04/28","AP/ARABAKI ROCK FEST","-800","ポケットカード","未分類","未分類","","0","21YWlHtYE9F7mT6iC_ohV8taKOquvWLL4hzE8CLQ3ic"
"1","2024/04/28","AP/ARABAKI ROCK FEST","-1000","ポケットカード","未分類","未分類","","0","tkmx-dSsiPl-TIXkoRiIz32vv5Tg6_TxU0TepjFuO5M"
"1","2024/04/28","AP/ARABAKI ROCK FEST","-800","ポケットカード","未分類","未分類","","0","niVwrQSP6QgXK_nsKRr5SxVBTFEkztqQfuErKIOHl4s"
"1","2024/04/28","AP/ARABAKI ROCK FEST","-800","ポケットカード","未分類","未分類","","0","2EwvbxdU3bCo9zSW4xi1kdHApZOtsYgwfFYuAS_4gN8"
"1","2024/04/28","AP/ARABAKI ROCK FEST","-300","ポケットカード","未分類","未分類","","0","ktm-Pff7Z-H9JbJtPtZMRpSHM93iCkrhit3UAa93cvE"
"1","2024/04/28","AP/DO THE POGO","-2200","ポケットカード","未分類","未分類","","0","NHvRoDZfC-LoeU5_j6S0t8NALXlgvczwWSftLpISZ4k"
"1","2024/04/27","AP/ARABAKI ROCK FEST","-200","ポケットカード","未分類","未分類","","0","983ILn_EEgLovcxp56i32blEL4-YXtDXQokzEK1zJEE"
"1","2024/04/27","AP/ARABAKI ROCK FEST","-1900","ポケットカード","未分類","未分類","","0","pZK--X1aU_DXDuOyb0m4CvU9kfy6aJ_dh93VbxjvtWk"
"1","2024/04/27","AP/ARABAKI ROCK FEST","-1100","ポケットカード","未分類","未分類","","0","mUlQX8dMBWkqosQnitbcrrwQ3KYrwHWJAFLUS_hFGMU"
"1","2024/04/27","AP/ARABAKI ROCK FEST","-580","ポケットカード","未分類","未分類","","0","pQRFYnGMMOpiOoJbNXIj_-IlzDN_EIuULee8R66WG2U"
"1","2024/04/27","AP/ARABAKI ROCK FEST","-6000","ポケットカード","未分類","未分類","","0","xLtETl2w76mppfuuSnZtI2drMTVK30URHEv3myQnmCc"
"1","2024/04/27","クドウ リク","100000","横浜銀行","未分類","未分類","","0","ed-wr-eNXlvg_uGMvbdoqfBzoetOtSqRmnHs_9vxMBQ"
"1","2024/04/26","クドウ リク","100000","横浜銀行","未分類","未分類","","0","UyDYhwE0PylN24ObTHOLLptFgRZK4Xwao3EFLdtAZBQ"
"1","2024/04/26","コウザフリカエ DF.バイクパ-ク","-9130","横浜銀行","未分類","未分類","","0","IP5I4wKPJHmekAg3pKjTqLR8_lZuIYlzvUJxopdUuO8"
"1","2024/04/26","クレジツト ミツイスミトモカ-ド (カ","-10000","横浜銀行","現金・カード","カード引き落とし","","0","P5kwAnixG8uQodB8PK9Py4EaqB_pHTldL5hTjh8O2EA"
"1","2024/04/25","クドウ リク","100000","横浜銀行","未分類","未分類","","0","joKFwNejcY7lHrYz41_1c33LSjUDA9yxUkqJZe4AG1c"
"1","2024/04/25","ジドウキ","-11000","横浜銀行","現金・カード","ATM引き出し","","0","82Pe7Jbrai_e6D-IoQLzRJYlB9G0LCrk3zHjTpsuWwQ"
"1","2024/04/24","ラクテンペイ スタンドフジ","-3890","ポケットカード","未分類","未分類","","0","izMzJbaBUrAfoKnFRwCjlqs4L2bQmWdhgw7VB0gJXgs"
"1","2024/04/23","ウマエビス","-13530","ポケットカード","交際費","交際費","","0","BF4vjnIonVft4wfnki_zNIHWnjWmd5ZKoWQsdixnEKg"
"1","2024/04/21","Amazonギフト券・Amazonショッピングカードの金額","500","Amazon.co.jp","未分類","未分類","","0","JYsQmByaKkZVtjoy42bBhJjoRiq7VDuVwFTrcetWpxU"
"1","2024/04/21","MAD PROTEIN(マッドプロテイン) ソイプロテイン 人工甘味料不使用 ノーフレーバー 国内加工 大豆 無添加 植物性プロテイン (1kg) 販売: リバティライフ(株)","-1871","Amazon.co.jp","日用品","日用品","","0","9xycy4Ao77UmQ7gXnb8MCWp6uceIXrYr7Gleo88TbUg"
"1","2024/04/21","BUNDOK(バンドック) ホット サンド プレート BD-901 フッ素樹脂加工 キャンプ パニーニ 販売: Amazon.co.jp","-1026","Amazon.co.jp","未分類","未分類","","0","skMslhknm0ylZstn9l4m-IElREU5IwGwkX11QFyidCU"
"1","2024/04/20","ドン・キホーテ下北沢店","-2043","ポケットカード","日用品","日用品","","0","Nkp9-1JRbiIiLuY5-uWZ6edsetSaieqmSjjvZPVGhJk"
"1","2024/04/20","テスウリヨウ","-165","横浜銀行","その他","雑費","","0","kA5X5nh-ZQmpSK1r4FXPdM6sASCn4uMHNsZ0dQ00ykg"
"1","2024/04/20","インタ-ネツト クドウ リク","-20000","横浜銀行","通信費","インターネット","","0","RK4kkohwVfVtlN22DZGjjYh_yNjm2QJ55b5Y3i5UXnE"
"1","2024/04/17","コウザフリカエ ペイペイ チヤ-ジ","-5000","横浜銀行","現金・カード","電子マネー","","0","PpSmqOHZvV6pEZOJhNwpY0_sewqQ62vXTSJ_rxXoaAI"
"1","2024/04/13","AP/あたみほてるぱいぷのけむり(じゃら","-18680","ポケットカード","未分類","未分類","","0","_XmD5PvHCsDReFWUfyMld1bkSYdMDqUYlPNyJyT9CLo"
"1","2024/04/12","自撮り棒 【業界超ミニ四脚安定モデル】 スマホスタンド 安定性アップ じどり棒 iphone android対応 スマホ 三脚 コンパクト 軽量 「極上の新設計」 セルカ棒 折りたたみ式 最大103cmまで selfie stick リモコン付き じどりぼう 9段階伸縮 携帯 スタンド 4-7インチ多機種対応 カメラ gopro兼用 セルフィー/撮影用/生ライブ配信/動画鑑賞などに最適 販売: MACOO STORE【安心保障】","-1969","Amazon.co.jp","自動車","ガソリン","","0","0K-xYDU4Kjjq89lAImYxFUZzLoqzlzc2R_r6Ea-5dx4"
"1","2024/04/03","コウザフリカエ ペイペイ チヤ-ジ","-50000","横浜銀行","現金・カード","電子マネー","","0","F41wUqt-tAg89Y0une_QX9YoNdSR7K7FFQv5yddeaCg"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/05/30","APPLE COM BILL","-1200","ポケットカード","通信費","その他通信費","","0","NSRwP9AQ5xizco4IEx29xSfc9rPdJQmRtAZXj-_9Sxk"
"1","2024/05/29","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","twvcdaxlZ_w5OeVpq2cz9almxI0kvwuGZ657k1U6R0k"
"1","2024/05/29","AP/Suica(携帯決済)","-5000","ポケットカード","現金・カード","電子マネー","","0","WT8pzy2_N8HVpHagvfv4CMHj0sb3BGx8JijZe3gxNzw"
"1","2024/05/29","マボネン","-6410","ポケットカード","未分類","未分類","","0","bVAk6iXXQG0ZtfdbGGU372CkfpusVwixqQV22Ovsq9Y"
"1","2024/05/28","ダイエー下北沢","-3367","ポケットカード","食費","食料品","","0","sVY3LPWlkJoy1LZT6IrIAmc-CTwVACAHmbe5MpjSyAc"
